=== BATCH A (29 Qs) ===
prio-001 | À une intersection sans signalisation, quelle règle s'applique ? || A: Priorité au véhicule venant de droite | B: Priorité au premier arrivé | C: Priorité au véhicule le plus gros | D: Priorité au véhicule venant de gauche || CORRECT: A
prio-174 | Quelles règles de priorité s'appliquent face à un tramway ? || A: Le tramway a toujours la priorité sauf signalisation contraire | B: Vous ne devez jamais vous engager sur les voies du tramway si un tramway approche | C: Le tramway doit respecter les feux tricolores comme tout véhicule | D: La priorité à droite s'applique normalement face au tramway || CORRECT: A+B
prio-184 | Quelles affirmations sont correctes sur la priorité à droite ? || A: Elle s'applique par défaut aux intersections sans signalisation | B: Un panneau triangulaire inversé l'annule | C: Elle ne s'applique pas aux véhicules sortant d'un parking | D: Elle s'applique aussi aux ronds-points || CORRECT: A+B+C
prio-186 | Quelles sont les règles de priorité aux intersections avec des feux tricolores ? || A: Le feu vert autorise le passage | B: Le feu orange impose l'arrêt sauf si on ne peut plus s'arrêter en sécurité | C: Au feu orange, on peut toujours passer si on accélère | D: Au feu vert, il faut encore vérifier que l'intersection est dégagée || CORRECT: A+B+D
s41-028 | Quelles affirmations sont correctes sur la priorité à droite ? || A: Elle s'applique par défaut en l'absence de signalisation | B: Elle s'applique aussi dans les parkings | C: Elle ne s'applique pas aux ronds-points avec panneau AB25 | D: Elle concerne uniquement les voitures || CORRECT: A+B+C
s41-036 | Quelles affirmations sont correctes sur la priorité en montagne ? || A: Le véhicule montant a la priorité sur le descendant | B: Le poids lourd a priorité sur le véhicule léger | C: Le premier arrivé au passage étroit a toujours priorité | D: Le véhicule le plus près d'une aire de croisement doit reculer || CORRECT: A+B+D
s41-037 | Quelles règles de priorité s'appliquent sur une voie d'insertion d'autoroute ? || A: Les véhicules sur l'autoroute ont la priorité | B: Vous devez adapter votre vitesse pour vous insérer | C: Vous avez priorité car vous arrivez par la droite | D: Vous devez utiliser toute la longueur de la voie d'accélération || CORRECT: A+B+D
s42-017 | Quelles affirmations sont correctes sur la priorité dans un parking ? || A: La priorité à droite s'applique dans les parkings | B: Les piétons ont toujours la priorité | C: La vitesse doit être réduite au pas | D: Le premier arrivé a la priorité || CORRECT: A+B+C
s42-020 | Dans quels cas la priorité à droite ne s'applique-t-elle PAS ? || A: Quand vous sortez d'un chemin de terre | B: Quand vous sortez d'une zone de stationnement | C: Face à un feu tricolore fonctionnel | D: Quand l'intersection est en forme de T || CORRECT: A+B+C
s42-021 | Quelles précautions prendre à une intersection sans signalisation ? || A: Appliquer la priorité à droite | B: Ralentir à l'approche de l'intersection | C: Vérifier à gauche ET à droite | D: Le premier arrivé passe en premier || CORRECT: A+B+C

=== BATCH B (35 Qs) ===
prio-005 | Un panneau 'STOP' vous oblige à : || A: Marquer un arrêt complet et céder le passage | B: Simplement ralentir | C: S'arrêter uniquement si un véhicule approche | D: Klaxonner avant de passer || CORRECT: A
prio-012 | Que signifie le panneau triangulaire inversé (pointe en bas) ? || A: Route prioritaire | B: Cédez le passage | C: Sens interdit | D: Fin de priorité || CORRECT: B
prio-020 | Quelle est la différence entre le STOP et le CÉDEZ LE PASSAGE ? || A: STOP oblige à s'arrêter, CÉDEZ permet de passer si la voie est libre | B: Ils signifient la même chose | C: CÉDEZ est plus strict que STOP | D: STOP est seulement pour les poids lourds || CORRECT: A
prio-021 | Deux véhicules se font face dans une rue étroite. Un obstacle (voiture stationnée) se trouve de votre côté. Qui doit céder le passage ? || A: Le véhicule le plus gros | B: Vous, car l'obstacle est de votre côté | C: L'autre véhicule, car il vient d'en face | D: Le premier qui arrive au rétrécissement || CORRECT: B
prio-028 | En sortant de l'autoroute par une bretelle de sortie, qui a la priorité ? || A: Vous, car vous quittez l'autoroute | B: Les véhicules sur la route que vous rejoignez | C: Personne, c'est un cédez le passage | D: Cela dépend de la signalisation en bas de la bretelle || CORRECT: D
prio-033 | Quelle est la règle de priorité lorsque deux véhicules se rencontrent sur un passage étroit ne permettant qu'un seul véhicule ? || A: Le véhicule qui descend doit céder le passage à celui qui monte, sauf signalisation contraire | B: Le plus gros véhicule passe en premier | C: Le premier arrivé passe en premier | D: Le véhicule qui monte doit reculer || CORRECT: A
prio-035 | Quelle est la priorité d'un véhicule sortant d'un chemin de terre ou d'une propriété privée ? || A: Il doit céder le passage à tous les usagers de la route | B: Il a la priorité à droite comme tout véhicule | C: Priorité partagée avec les véhicules sur la route | D: Priorité s'il signale sa sortie avec le clignotant || CORRECT: A
prio-036 | Lors d'une réduction de voie (par exemple de 3 voies à 2), quelle est la règle de priorité ? || A: Les véhicules de la voie qui disparaît doivent céder le passage et s'insérer en alternance (fermeture éclair) | B: Les véhicules de la voie qui reste doivent s'arrêter pour laisser passer | C: Premier arrivé, premier passé | D: Les poids lourds passent en premier || CORRECT: A
prio-043 | Quelle est la règle de priorité lorsque la route se rétrécit et qu'un véhicule arrive en face ? || A: Le véhicule qui monte a toujours la priorité | B: Le premier arrivé au rétrécissement a la priorité | C: Le véhicule le plus lourd a la priorité | D: La signalisation détermine qui doit céder, sinon le véhicule qui monte est prioritaire || CORRECT: D
prio-045 | Quelle est la priorité d'un véhicule de chantier sortant d'un site de construction sur la voie publique ? || A: Il a la priorité car il est signalé par un panneau de sortie d'engins | B: Il doit céder le passage aux usagers de la voie publique malgré le panneau | C: Il a la priorité uniquement s'il est accompagné d'un signaleur | D: La priorité à droite s'applique || CORRECT: B
prio-048 | Quatre véhicules arrivent simultanément à un carrefour en croix sans signalisation. Comment résoudre cette situation ? || A: Le véhicule le plus à droite passe en premier | B: Tous les véhicules doivent s'arrêter et l'un d'eux doit céder le passage par courtoisie pour débloquer la situation | C: Les véhicules passent dans le sens des aiguilles d'une montre | D: Le véhicule le plus lourd a la priorité || CORRECT: B
prio-051 | Quelles sont vos obligations lorsque vous arrivez à une intersection avec un panneau STOP ? || A: Marquer un arrêt complet, même si aucun véhicule n'est visible | B: Céder le passage à tous les usagers de la route prioritaire | C: Ralentir suffisamment pour vérifier la circulation | D: S'arrêter uniquement si des véhicules arrivent || CORRECT: A+B
prio-052 | Dans quelles situations un conducteur doit-il céder le passage aux piétons ? || A: Lorsqu'un piéton est engagé sur un passage piéton | B: Lorsqu'un piéton manifeste clairement l'intention de traverser sur un passage piéton | C: Uniquement lorsque le piéton a déjà atteint le milieu de la chaussée | D: Uniquement lorsqu'un agent de la circulation l'ordonne || CORRECT: A+B
prio-054 | Quelles sont les règles de priorité lorsque vous tournez à gauche à une intersection ? || A: Vous devez céder le passage aux véhicules venant en face | B: Vous devez laisser passer les piétons qui traversent la rue dans laquelle vous vous engagez | C: Vous avez la priorité sur les véhicules venant en face si vous avez le feu vert | D: Les piétons doivent attendre que vous ayez terminé votre manœuvre || CORRECT: A+B
media-001 | En observant cette intersection, qui doit céder le passage ? || A: La voiture bleue | B: La voiture rouge | C: Les deux doivent s'arrêter | D: Celui qui arrive le premier passe || CORRECT: B
prio-108 | Que signifie 'priorité à droite' ? || A: Vous devez céder le passage aux véhicules venant de votre droite | B: Vous devez toujours tourner à droite | C: Les piétons passent à droite | D: Vous roulez sur la voie de droite || CORRECT: A
prio-111 | À qui devez-vous TOUJOURS céder le passage, quel que soit le feu ou le panneau ? || A: Aux véhicules d'urgence (sirène et gyrophare) | B: Aux taxis | C: Aux camions | D: Aux véhicules électriques || CORRECT: A
prio-112 | Que signifie un panneau triangulaire avec un sommet vers le bas (pointe en bas) ? || A: Sens interdit | B: Cédez le passage | C: Route prioritaire | D: Danger || CORRECT: B
media-117 | Que devez-vous faire lorsque vous voyez ce panneau ? || A: Accélérer pour passer en premier | B: Céder le passage aux véhicules sur la route prioritaire | C: S'arrêter obligatoirement | D: Faire demi-tour || CORRECT: B
prio-127 | Quelles règles s'appliquent aux cyclistes aux intersections ? (2 réponses) || A: Un sas vélo permet aux cyclistes de se placer devant les voitures au feu rouge | B: Un panneau cédez le passage cycliste peut autoriser un cycliste à passer au feu rouge | C: Les cyclistes n'ont jamais à respecter les feux tricolores | D: Les voitures peuvent s'arrêter dans un sas vélo si le feu est rouge || CORRECT: A+B
prio-130 | Dans quels cas un conducteur doit-il céder le passage alors qu'il a un feu vert ? (2 réponses) || A: Quand un véhicule prioritaire avec sirène et gyrophare approche | B: Quand des piétons sont engagés sur le passage piéton | C: Quand un autre véhicule est déjà engagé dans l'intersection | D: Quand la circulation est fluide sur la voie transversale || CORRECT: A+B
prio-159 | Quelles règles de priorité s'appliquent à une sortie de parking ou de propriété privée ? || A: Vous devez céder le passage à tous les usagers sur la voie publique | B: Les piétons sur le trottoir ont la priorité sur vous | C: Vous avez la priorité si vous avez le clignotant | D: La priorité à droite s'applique normalement || CORRECT: A+B
prio-165 | Vous circulez sur une route prioritaire. Parmi ces propositions, lesquelles sont correctes ? || A: Les véhicules venant des routes secondaires doivent vous céder le passage | B: Vous gardez la priorité même si vous tournez à gauche à une intersection | C: La priorité reste valable tant qu'aucun panneau ne l'annule | D: Vous n'avez jamais besoin de ralentir aux intersections sur cette route || CORRECT: A+C
prio-167 | Quelles sont les obligations à un panneau STOP ? || A: Marquer un arrêt complet, même si aucun véhicule n'est visible | B: Ralentir suffisamment pour vérifier l'absence de danger | C: S'arrêter à la ligne d'arrêt ou au bord de la chaussée | D: Céder le passage à tous les usagers circulant sur la route croisée || CORRECT: A+C+D
prio-168 | À une intersection sans signalisation, quelles règles s'appliquent ? || A: La priorité à droite s'applique | B: Le véhicule le plus rapide a la priorité | C: Vous devez céder le passage aux véhicules venant de votre droite | D: Le véhicule arrivé le premier passe en premier || CORRECT: A+C
prio-169 | Un tramway arrive à une intersection. Quelles affirmations sont vraies ? || A: Le tramway a toujours la priorité, quelle que soit la signalisation | B: Le tramway ne peut pas s'arrêter aussi rapidement qu'une voiture | C: Vous devez lui céder le passage même sans panneau spécifique | D: Le tramway suit les mêmes règles de priorité que les voitures || CORRECT: A+B+C
prio-172 | Quelle est la différence entre un panneau 'cédez le passage' et un panneau STOP ? || A: Le STOP impose un arrêt complet, le cédez-le-passage permet de passer si la voie est libre | B: Les deux imposent de céder le passage aux usagers de la voie croisée | C: Le cédez-le-passage autorise à ne pas s'arrêter s'il n'y a aucun danger | D: Le STOP et le cédez-le-passage sont exactement équivalents || CORRECT: A+B+C
prio-173 | Vous sortez d'un parking privé pour rejoindre la chaussée. Quelles règles devez-vous respecter ? || A: Vous devez céder le passage à tous les usagers circulant sur la chaussée | B: Les piétons sur le trottoir que vous traversez ont la priorité | C: Vous avez la priorité car vous venez de la droite | D: Seuls les véhicules ont la priorité, pas les cyclistes || CORRECT: A+B
prio-175 | Dans quels cas un véhicule prioritaire (pompiers, SAMU) peut-il déroger aux règles ? || A: Quand il utilise simultanément ses signaux sonores et lumineux | B: Les autres usagers doivent faciliter son passage en se rangeant | C: Il peut rouler à n'importe quelle vitesse sans limitation | D: Les piétons n'ont pas à lui céder le passage || CORRECT: A+B
prio-177 | Quelles affirmations sur la priorité dans un parking sont correctes ? || A: Les piétons ont toujours la priorité dans un parking | B: Le véhicule quittant une place de stationnement doit céder le passage | C: Le premier arrivé à une intersection dans le parking a la priorité | D: Les règles du code de la route ne s'appliquent pas dans les parkings privés || CORRECT: A+B
prio-179 | Comment fonctionne la priorité dans une intersection en croix sans signalisation ? || A: La priorité à droite s'applique : vous cédez au véhicule venant de votre droite | B: Cette règle s'applique même si votre route est plus large | C: Le véhicule le plus rapide a la priorité | D: Les véhicules venant de gauche ont toujours la priorité en ville || CORRECT: A+B
prio-180 | Quelles règles de priorité s'appliquent aux sorties de propriété privée ? || A: Le véhicule sortant d'une propriété doit céder le passage à tous | B: Cela inclut les piétons, cyclistes et véhicules sur la voie publique | C: Les véhicules sur la route doivent vous laisser sortir | D: La priorité à droite s'applique en sortie de propriété || CORRECT: A+B
prio-189 | Que signifie le panneau 'priorité ponctuelle' (losange jaune avec bordure blanche) ? || A: Vous avez la priorité uniquement à la prochaine intersection | B: Les véhicules venant de droite doivent vous céder le passage | C: Vous êtes sur une route prioritaire pour toute sa longueur | D: Ce panneau est souvent accompagné d'un schéma de l'intersection || CORRECT: A+B+D
s41-033 | Quelles situations donnent la priorité de passage à votre véhicule ? || A: Vous êtes sur une route prioritaire signalée | B: L'autre véhicule a un panneau Cédez le passage | C: Vous arrivez le premier à l'intersection | D: Vous roulez plus vite que l'autre véhicule || CORRECT: A+B
s41-035 | Quelles affirmations sont vraies quand vous sortez d'un stationnement ? || A: Vous devez céder le passage à tous les usagers | B: Vous devez utiliser votre clignotant | C: Vous avez priorité car vous quittez un espace privé | D: Vous devez vérifier vos angles morts || CORRECT: A+B+D

=== BATCH C (46 Qs) ===
prio-002 | Quels panneaux indiquent que vous êtes sur une route prioritaire ? || A: Un losange jaune sur fond blanc | B: Un triangle inversé rouge et blanc | C: Un panneau STOP | D: Une croix jaune sur fond blanc avec une barre noire || CORRECT: A
prio-008 | Que signifie le panneau 'Cédez le passage' (triangle inversé) ? || A: Vous devez marquer un arrêt complet | B: Vous devez ralentir et céder le passage | C: Vous avez la priorité | D: La route est interdite || CORRECT: B
prio-010 | Quand la priorité à droite ne s'applique-t-elle PAS ? || A: Quand il y a un panneau STOP ou Cédez le passage | B: Quand vous sortez d'un parking ou d'un chemin de terre | C: Quand vous êtes sur une route prioritaire | D: Quand vous tournez à gauche || CORRECT: A+B+C
prio-015 | Un feu clignotant orange signifie : || A: Arrêt obligatoire | B: Passez avec prudence, priorité à droite s'applique | C: Feu en panne, continuez normalement | D: Accélérez pour passer avant le rouge || CORRECT: B
prio-017 | Au panneau STOP, devez-vous vous arrêter même si vous ne voyez aucun véhicule ? || A: Oui, l'arrêt est obligatoire dans tous les cas | B: Non, si la voie est libre vous pouvez continuer | C: Seulement de nuit | D: Seulement si un agent est présent || CORRECT: A
prio-023 | Que signifie un feu orange clignotant ? || A: Arrêtez-vous obligatoirement | B: Ralentissez et cédez le passage — priorité à droite s'applique | C: Feu en panne, ignorez-le | D: Accélérez car le feu va passer au vert || CORRECT: B
prio-025 | Un agent de police vous fait face avec les bras tendus horizontalement de chaque côté. Que signifie ce geste ? || A: Vous pouvez passer | B: Vous devez vous arrêter | C: Tournez dans la direction indiquée | D: Ralentissez seulement || CORRECT: B
prio-026 | Quelles affirmations sont correctes concernant les véhicules prioritaires ? || A: Pompiers et ambulances ont la même obligation de céder le passage | B: Vous devez vous ranger à droite et vous arrêter si nécessaire | C: Ils n'ont la priorité que lorsque sirène et gyrophare sont activés | D: Vous pouvez ignorer un véhicule prioritaire si le feu est vert pour vous || CORRECT: B+C
prio-030 | À un feu tricolore temporaire de chantier, que devez-vous faire quand le feu est rouge ? || A: Passer si personne ne vient en face | B: Vous arrêter et attendre le feu vert | C: Passer lentement en regardant | D: Klaxonner et passer || CORRECT: B
prio-046 | Dans quel cas le tramway n'a-t-il PAS la priorité ? || A: Lorsqu'il franchit un feu rouge | B: Lorsqu'il circule dans une zone piétonne | C: Lorsqu'il tourne à gauche dans une intersection | D: Lorsqu'il est face à un signal qui lui est propre indiquant l'arrêt || CORRECT: D
prio-049 | Que signifie un feu orange clignotant à une intersection ? || A: Le feu est en panne, ignorez-le | B: Vous devez vous arrêter obligatoirement | C: La priorité à droite s'applique et vous devez ralentir | D: Vous avez la priorité sur toutes les directions || CORRECT: C
prio-057 | Dans quelles situations le panneau « Cédez le passage » vous oblige-t-il à vous arrêter ? || A: Lorsqu'un véhicule arrive sur la route prioritaire et que vous ne pouvez pas vous insérer en toute sécurité | B: Lorsque des piétons traversent sur un passage piéton de la route prioritaire | C: Toujours, comme pour un panneau STOP | D: Uniquement la nuit || CORRECT: A+B
media-003 | La voiture rouge arrive à un STOP. Dans quel ordre les véhicules passent-ils ? || A: Rouge, Bleu, Jaune | B: Bleu, Jaune, Rouge | C: Jaune, Bleu, Rouge | D: Bleu, Rouge, Jaune || CORRECT: B
prio-059 | Que signifie un panneau triangulaire inversé (pointe en bas) ? || A: Route prioritaire | B: Cédez le passage | C: Sens interdit | D: Arrêt obligatoire || CORRECT: B
media-102 | Que signifie ce panneau ? || A: Arrêt obligatoire | B: Cédez le passage | C: Route prioritaire | D: Fin de priorité || CORRECT: B
prio-109 | Que devez-vous faire quand un feu tricolore est au vert ? || A: Vous pouvez passer si l'intersection est dégagée | B: Vous devez vous arrêter | C: Vous devez klaxonner | D: Vous devez accélérer au maximum || CORRECT: A
prio-110 | Que signifie un feu orange (jaune) fixe ? || A: Accélérez pour passer avant le rouge | B: Arrêtez-vous, sauf si vous ne pouvez plus le faire en sécurité | C: Cédez le passage à droite | D: Le feu est en panne || CORRECT: B
prio-114 | Que devez-vous faire à un panneau STOP ? || A: Ralentir et passer si la voie est libre | B: Vous arrêter complètement, puis repartir quand la voie est libre | C: Klaxonner pour prévenir les autres | D: Accélérer pour passer rapidement || CORRECT: B
prio-115 | Un feu clignotant orange signifie : || A: Vous devez vous arrêter | B: Le feu est en panne, passez sans précaution | C: Ralentissez et appliquez la priorité à droite | D: Seuls les piétons peuvent passer || CORRECT: C
prio-116 | Que devez-vous faire quand un feu tricolore passe au rouge ? || A: Vous arrêter avant la ligne d'arrêt | B: Ralentir et passer prudemment | C: Accélérer pour passer avant le rouge | D: Allumer vos feux de détresse || CORRECT: A
prio-117 | Un piéton s'engage sur un passage piéton. Que devez-vous faire ? || A: Klaxonner pour qu'il se dépêche | B: Vous arrêter pour le laisser traverser | C: Le contourner par la gauche | D: Accélérer si vous êtes déjà proche || CORRECT: B
prio-119 | Que devez-vous faire face à un feu rouge clignotant ? || A: Vous arrêter, puis repartir prudemment | B: Ralentir et passer | C: Continuer normalement | D: Faire demi-tour || CORRECT: A
prio-120 | Un agent de police fait signe de vous arrêter. Les feux sont verts. Que faites-vous ? || A: Passer au vert | B: Obéir à l'agent et vous arrêter | C: Klaxonner pour prévenir l'agent | D: Ralentir mais continuer || CORRECT: B
prio-124 | Quelles affirmations sont correctes concernant la priorité lors d'une insertion sur autoroute ? (2 réponses) || A: Les véhicules sur l'autoroute ont la priorité sur ceux de la voie d'insertion | B: Vous devez utiliser la voie d'accélération pour atteindre la vitesse du trafic | C: Vous pouvez vous arrêter sur la voie d'accélération si le trafic est dense | D: Les véhicules sur l'autoroute doivent ralentir pour vous laisser entrer || CORRECT: A+B
prio-129 | Quelles affirmations sont correctes concernant la priorité des personnes aveugles ? (2 réponses) || A: Une personne avec une canne blanche a toujours la priorité pour traverser | B: Vous devez vous arrêter dès qu'une personne aveugle manifeste l'intention de traverser | C: Les personnes aveugles n'ont la priorité que sur les passages piétons | D: Vous pouvez klaxonner pour signaler votre présence à une personne aveugle || CORRECT: A+B
prio-132 | Quelles obligations avez-vous lorsqu'un agent de police dirige la circulation ? (2 réponses) || A: Les gestes de l'agent prévalent sur les feux et les panneaux | B: Vous devez obéir immédiatement à ses instructions | C: Vous pouvez ignorer l'agent si le feu est vert | D: L'agent ne peut vous obliger à vous arrêter que s'il porte un gilet jaune || CORRECT: A+B
prio-155 | Dans quels cas perdez-vous votre priorité même si vous êtes sur une route prioritaire ? || A: Face à un véhicule prioritaire (sirène et gyrophare en marche) | B: Quand un agent de police vous fait signe de vous arrêter | C: Quand un piéton traverse sur un passage non protégé | D: Quand il pleut et que la visibilité est réduite || CORRECT: A+B
prio-157 | Quelles affirmations sur les passages piétons sont correctes ? || A: Un piéton engagé sur un passage piéton a toujours la priorité | B: Vous devez vous arrêter dès qu'un piéton manifeste l'intention de traverser | C: Les piétons n'ont la priorité que si le feu piéton est vert | D: Vous pouvez passer derrière un piéton qui a déjà traversé votre voie || CORRECT: A+B
prio-158 | Quelles affirmations sont correctes concernant la priorité aux intersections signalées par un cédez le passage ? || A: Vous devez laisser passer les véhicules sur la route prioritaire | B: Vous pouvez passer sans vous arrêter si la voie est clairement libre | C: Vous devez obligatoirement vous arrêter comme à un STOP | D: Le cédez le passage s'annule quand il pleut || CORRECT: A+B
prio-162 | Quelles affirmations sur les intersections avec feux tricolores sont correctes ? || A: Un feu rouge impose un arrêt absolu avant la ligne d'effet du feu | B: Un feu orange fixe signifie que vous devez vous arrêter sauf si vous ne pouvez plus le faire en sécurité | C: Vous pouvez passer au rouge si aucun véhicule n'arrive en face | D: Le feu orange autorise à accélérer pour passer avant le rouge || CORRECT: A+B
prio-170 | Un piéton s'engage sur un passage protégé. Quelles sont vos obligations ? || A: Vous devez vous arrêter pour le laisser traverser | B: Vous pouvez klaxonner pour qu'il se dépêche | C: Cette obligation s'applique même si le piéton est encore sur le trottoir et manifeste l'intention de traverser | D: Vous pouvez continuer s'il reste sur l'autre moitié de la chaussée || CORRECT: A+C
prio-176 | Quelles règles s'appliquent à une intersection avec un panneau 'cédez le passage' ? || A: Vous devez laisser passer les véhicules sur la route prioritaire | B: Vous pouvez passer sans vous arrêter si la voie est libre | C: Vous devez obligatoirement marquer un arrêt complet | D: Ce panneau n'a de valeur que hors agglomération || CORRECT: A+B
prio-178 | Quelles obligations avez-vous face à un convoi funéraire ? || A: Vous ne devez pas couper un convoi funéraire en cours de passage | B: Les véhicules du convoi peuvent ne pas respecter certains feux | C: Vous devez obligatoirement vous arrêter et attendre la fin du convoi | D: Les convois funéraires n'ont aucun droit particulier || CORRECT: A+B
prio-181 | Quelles situations annulent votre priorité même sur route prioritaire ? || A: Un agent de police vous fait signe de vous arrêter | B: Un véhicule prioritaire avec sirène et gyrophare arrive | C: Un véhicule lent roule devant vous sur votre voie | D: Il pleut et la visibilité est réduite || CORRECT: A+B
prio-182 | Quelles règles de priorité s'appliquent sur un passage à niveau ? || A: Le train a toujours la priorité absolue | B: Quand les barrières se ferment ou les feux clignotent, vous devez vous arrêter | C: Vous pouvez traverser si vous estimez avoir le temps avant le train | D: Les feux ne fonctionnent pas toujours, donc vous pouvez passer prudemment || CORRECT: A+B
prio-183 | Quelles affirmations sur le panneau STOP sont correctes ? || A: Vous devez marquer un arrêt complet, roues immobiles | B: L'arrêt est obligatoire même si aucun véhicule n'est en vue | C: Vous pouvez ralentir fortement sans vous arrêter complètement | D: Le STOP ne s'applique que pendant les heures de pointe || CORRECT: A+B
prio-187 | Quelles situations suppriment la priorité à droite ? || A: Un panneau 'Stop' | B: Un panneau 'Cédez le passage' | C: Une route plus large que la route transversale | D: Des feux tricolores en fonctionnement || CORRECT: A+B+D
prio-190 | Quelles sont les règles à un panneau 'Stop' ? || A: Vous devez marquer un arrêt complet | B: Vous devez céder le passage à tous les usagers sur la route prioritaire | C: Vous pouvez simplement ralentir si la visibilité est bonne | D: L'arrêt doit se faire au niveau de la ligne au sol ou du panneau || CORRECT: A+B+D
s41-029 | Quelles situations annulent la priorité à droite ? || A: Un panneau STOP | B: Un feu tricolore | C: Un panneau Cédez le passage | D: Une route plus large que la vôtre || CORRECT: A+B+C
